"Ca","pH"
340,7
224,7
279,7
261,7
449,7
267,7
302,7
269,7
303,7
403,7
278,7
255,7
296,7
301,7
483,7
393,7
618,7
307,7
297,7
293,7
248,7
259,7
337,7
251,7
259,7
246,7
245,7
247,7
291,7
289,7
281,7
385,7
271,7
300,7
315,7
317,7
348,7
405,7
522,7
324,7
365,7
216,7
290,7
259,7
259,7
318,7
255,7
207,7
204,7
345,7
261,7
376,7
335,7
267,7
275,7
250,7
261,7
311,7
318,7
491,7
339,7
528,7
248,7
398,7
435,7
352,7
382,7
361,7
308,7
246,7
270,7
502,7
454,7
414,7
398,7
386,7
263,7
281,7
283,7
316,7
325,7
290,7
311,7
331,7
290,7
297,7
289,7
276,7
287,7
314,7
500,7
381,7
346,7
357,7
531,7
225,7
275,7
334,7
439,7
349,7
780,7
394,7
365,7
322,7
374,7
346,7
432,7
523,7
385,7
666,7
525,7
429,7
449,7
536,7
515,7
274,7
383,7
280,7
268,7
274,7
252,7
268,7
262,7
298,7
238,7
259,7
256,7
637,7
366.6,7
397.8,7
399.3,7
417.6,7
396.2,7
394.2,7
352.8,7
365.1,7
375.8,7
379.6,7
366.1,7
486.8,7
500.9,7
343.6,7
462.1,7
335.7,7
284.1,7
287.9,7
303.7,7
244.4,7
345.6,7
389.6,7
286.2,7
290.1,7
344.6,7
344.6,7
333.3,7
347.6,7
366.3,7
322.5,7
374.3,7
495.3,7
312.6,7
318.9,7
341.1,7
365.3,7
344,7
285.6,7
271.7,7
287.9,7
349.7,7
285.6,7
302,7
291.2,7
349.2,7
257.1,7
327.9,7
312.1,7
270,7
753.3,7
687.3,7
988.4,7
118.4,7
290.1,7
324.6,7
300.1,7
276.6,7
302,7
299.4,7
298.8,7
371.1,7
278.2,7
293.8,7
272.6,7
329.4,7
369.9,7
319.3,7
334.9,7
454.6,7
721.3,7
290.1,7
379.9,7
356.5,7
312.5,7
263,7
340.4,7
427.9,7
330,7.1
518,7.1
364,7.1
379,7.1
366,7.1
318,7.1
326,7.1
407,7.1
314,7.1
324,7.1
327,7.1
436,7.1
391,7.1
206,7.1
277,7.1
667,7.1
492,7.1
371,7.1
282,7.1
416,7.1
368,7.1
346,7.1
493,7.1
486,7.1
216,7.1
266,7.1
229,7.1
282,7.1
369,7.1
403,7.1
423,7.1
465,7.1
365,7.1
539,7.1
427,7.1
327,7.1
412,7.1
282,7.1
317,7.1
228,7.1
229,7.1
241,7.1
244,7.1
342,7.1
353,7.1
340,7.1
275,7.1
726,7.1
473,7.1
496,7.1
462,7.1
498,7.1
551,7.1
483,7.1
457,7.1
407,7.1
405,7.1
425,7.1
437,7.1
480,7.1
487,7.1
494,7.1
503,7.1
351,7.1
493,7.1
393.4,7.1
444.6,7.1
443.8,7.1
430,7.1
580.1,7.1
546.2,7.1
320,7.1
302.8,7.1
310.4,7.1
431.6,7.1
581.4,7.1
350.6,7.1
365.9,7.1
339.2,7.1
397.2,7.1
407.7,7.1
321.9,7.1
368.6,7.1
349.1,7.1
292.8,7.1
500.8,7.1
361.6,7.1
824,7.1
119.3,7.1
522.7,7.1
438,7.1
311,7.1
320.5,7.1
296.5,7.1
395.1,7.1
301,7.1
300.1,7.1
520,7.1
386.9,7.1
299.3,7.1
2251.1,7.1
517.3,7.1
643.2,7.1
753.8,7.1
317.9,7.1
339.5,7.1
462.6,7.1
324.7,7.1
638,7.2
380,7.2
426,7.2
431,7.2
391,7.2
618,7.2
288,7.2
384,7.2
451,7.2
324,7.2
311,7.2
299,7.2
476,7.2
450,7.2
387,7.2
404,7.2
406,7.2
320,7.2
426,7.2
285,7.2
329,7.2
321,7.2
600,7.2
579.4,7.2
582.1,7.2
356.1,7.2
408.4,7.2
525.2,7.2
382.7,7.2
372.3,7.2
360,7.2
317.1,7.2
355.4,7.2
370.8,7.2
411.3,7.2
387.5,7.2
390.6,7.2
402.3,7.2
441,7.2
373.5,7.2
372.9,7.2
410.9,7.2
418.9,7.2
310.2,7.2
469,7.2
692.8,7.2
373.5,7.2
3045.1,7.2
2383.1,7.2
3880.1,7.2
519.2,7.2
546.4,7.2
673,7.2
494,7.2
394.9,7.2
355.1,7.2
571,7.3
557,7.3
1423.5,7.3
417,7.3
318,7.3
373.3,7.3
336.3,7.3
348,7.3
347,7.3
594.4,7.3
531.7,7.3
345.5,7.3
407.9,7.3
404.7,7.3
410.1,7.3
416.2,7.3
376.6,7.3
458.2,7.3
519.4,7.3
381.8,7.3
341,7.3
307.8,7.3
325,7.3
378.9,7.3
415.4,7.3
393.7,7.3
100.7,7.3
361.4,7.3
428,7.3
2851.1,7.3
599.4,7.3
711.2,7.3
969.5,7.3
543.5,7.3
531.6,7.3
375.6,7.3
340.8,7.3
510.7,7.3
650.7,7.3
528.6,7.3
372.1,7.3
571.5,7.4
437.9,7.4
566.3,7.4
349.2,7.4
354.4,7.4
503.2,7.4
530.5,7.4
359.1,7.4
360.5,7.4
396,7.4
387,7.4
859.9,7.4
543.3,7.4
468,7.4
448.8,7.5
370,7.5
502.1,7.5
920.9,7.5
