"Diversity","Shrubs","Stumps","Stags","Bark","Habitat","BAcacia","eucalyptus","aspect"
3,6,1,12,29,9,31,"regnans","SW-NW"
2,5,0,15,12,2,4,"regnans","SE-SW"
1,7,0,6,26,2,8,"regnans","NW-NE"
2,6,0,14,16,8,16,"regnans","SW-NW"
3,5,0,16,11,8,20,"delegatensis","SE-SW"
2,3,0,16,6,10,31,"regnans","NW-SE"
3,6,0,9,10,8,16,"delegatensis","SW-NW"
2,13,0,20,4,8,17,"regnans","SE-SW"
0,5,0,7,13,3,0,"regnans","SW-NW"
0,8,0,4,9,1,8,"regnans","SE-SW"
1,11,1,6,3,2,8,"regnans","SE-SW"
1,16,0,5,3,6,9,"regnans","SW-NW"
0,8,0,4,11,1,11,"delegatensis","NW-NE"
4,9,0,6,14,7,0,"regnans","SE-SW"
2,4,0,4,8,1,25,"regnans","NW-SE"
3,9,0,10,13,7,16,"regnans","SE-SW"
1,11,0,6,17,1,7,"regnans","SW-NW"
3,8,0,11,8,9,23,"regnans","NW-SE"
3,4,0,11,7,8,19,"regnans","NW-SE"
1,8,0,4,12,9,13,"regnans","NW-SE"
2,1,0,16,5,10,21,"regnans","SE-SW"
2,3,1,8,9,8,23,"delegatensis","SE-SW"
2,3,0,10,15,1,0,"delegatensis","NW-NE"
3,5,0,9,16,2,16,"delegatensis","NW-SE"
4,3,0,7,16,8,20,"nitens","NW-SE"
2,4,0,10,14,2,5,"delegatensis","NW-SE"
1,5,0,15,18,0,1,"regnans","SE-SW"
1,2,0,5,4,9,33,"delegatensis","SE-SW"
2,6,0,7,22,10,3,"nitens","NW-SE"
3,1,0,10,11,2,4,"regnans","SE-SW"
3,5,0,11,11,9,17,"delegatensis","SE-SW"
3,3,0,8,17,7,13,"regnans","NW-SE"
2,5,0,8,9,7,13,"regnans","SE-SW"
3,21,1,3,23,4,3,"regnans","SE-SW"
4,5,0,14,9,8,12,"regnans","SE-SW"
0,3,0,5,5,4,13,"regnans","SE-SW"
2,4,0,8,6,9,20,"regnans","NW-SE"
0,3,0,14,7,8,15,"regnans","SW-NW"
2,2,0,11,9,6,15,"regnans","NW-SE"
1,6,0,2,7,6,11,"regnans","NW-SE"
0,11,0,1,7,3,11,"regnans","NW-NE"
0,11,1,1,5,1,1,"regnans","NW-SE"
3,5,0,7,8,8,27,"regnans","NW-SE"
0,5,0,2,9,2,15,"regnans","SE-SW"
2,3,0,7,5,7,15,"regnans","NW-SE"
2,5,0,7,5,5,23,"regnans","NW-SE"
1,10,0,1,11,3,17,"regnans","SE-SW"
2,15,0,6,9,3,13,"regnans","NW-SE"
1,8,0,8,5,1,9,"regnans","NW-NE"
1,5,0,6,8,3,4,"regnans","SW-NW"
2,9,0,6,7,7,16,"regnans","NW-NE"
1,7,0,5,5,1,2,"regnans","NW-SE"
1,8,0,6,9,7,22,"regnans","NW-SE"
0,3,0,0,3,1,17,"regnans","SE-SW"
1,0,0,0,6,1,12,"regnans","NW-SE"
0,11,0,2,7,4,11,"regnans","NW-NE"
0,11,1,0,10,1,3,"regnans","SW-NW"
1,10,1,1,15,2,4,"regnans","NW-NE"
3,8,0,3,8,2,7,"regnans","SE-SW"
1,6,0,2,6,2,0,"regnans","SE-SW"
1,4,0,2,4,2,3,"nitens","NW-NE"
2,2,0,6,7,7,39,"regnans","NW-NE"
1,5,0,3,7,5,11,"regnans","NW-SE"
2,2,0,4,6,6,23,"delegatensis","SW-NW"
3,1,0,3,6,4,28,"regnans","NW-NE"
1,8,0,4,10,7,19,"regnans","SE-SW"
0,1,0,5,6,6,17,"delegatensis","NW-SE"
2,1,0,2,7,5,24,"delegatensis","SE-SW"
1,0,0,3,5,6,20,"delegatensis","NW-NE"
2,2,0,4,4,8,20,"delegatensis","NW-NE"
1,7,0,4,5,4,5,"regnans","NW-SE"
1,5,0,2,7,3,3,"regnans","NW-NE"
1,3,0,2,8,3,19,"regnans","SW-NW"
2,0,0,10,6,7,19,"regnans","NW-NE"
5,7,0,16,14,7,19,"regnans","SE-SW"
1,3,1,10,7,8,20,"regnans","NW-NE"
1,6,0,4,12,6,16,"nitens","SE-SW"
1,0,0,3,4,3,5,"regnans","NW-SE"
1,4,0,2,7,2,3,"regnans","NW-SE"
1,8,0,2,9,3,12,"regnans","NW-NE"
0,4,0,2,8,4,11,"regnans","SW-NW"
1,5,0,2,8,3,3,"regnans","NW-SE"
1,1,0,3,4,4,17,"delegatensis","NW-SE"
1,6,0,1,14,4,17,"regnans","NW-SE"
0,4,1,6,12,7,16,"regnans","SW-NW"
0,8,0,8,18,5,7,"regnans","NW-SE"
0,4,0,2,5,3,0,"regnans","NW-NE"
2,2,0,4,6,2,0,"nitens","NW-SE"
3,7,0,12,5,6,4,"regnans","SE-SW"
0,7,0,13,5,6,3,"regnans","SE-SW"
2,1,0,3,7,7,21,"regnans","NW-SE"
4,2,0,14,6,9,20,"regnans","NW-NE"
2,7,0,2,5,4,7,"regnans","NW-NE"
2,1,0,4,9,6,24,"regnans","NW-SE"
0,5,0,0,9,3,21,"regnans","SE-SW"
1,0,0,2,5,3,15,"regnans","SE-SW"
0,2,0,3,5,5,13,"nitens","SW-NW"
2,1,0,14,3,7,19,"delegatensis","SE-SW"
2,1,0,29,6,4,1,"regnans","NW-SE"
0,0,0,2,2,3,16,"regnans","SE-SW"
0,14,0,4,0,1,0,"regnans","SE-SW"
3,0,0,6,6,6,25,"regnans","SE-SW"
1,8,0,3,9,5,16,"nitens","NW-NE"
2,3,0,8,6,5,24,"regnans","NW-SE"
1,3,0,4,5,5,13,"regnans","NW-SE"
0,4,0,7,5,2,0,"regnans","NW-NE"
3,15,0,20,18,4,0,"regnans","NW-SE"
1,0,0,4,3,3,0,"delegatensis","NW-NE"
0,2,0,11,3,4,1,"delegatensis","NW-SE"
2,2,0,5,3,2,7,"delegatensis","SW-NW"
1,0,0,1,3,2,1,"delegatensis","SE-SW"
0,1,0,2,5,4,9,"delegatensis","NW-SE"
2,1,0,27,7,6,7,"delegatensis","SE-SW"
5,9,0,24,16,8,17,"regnans","NW-NE"
