"Breathlessness","Wheeze","Age","Freq"
"B","W","20-24",9
"NoB","W","20-24",95
"B","NoW","20-24",7
"NoB","NoW","20-24",1841
"B","W","25-29",23
"NoB","W","25-29",105
"B","NoW","25-29",9
"NoB","NoW","25-29",1654
"B","W","30-34",54
"NoB","W","30-34",177
"B","NoW","30-34",19
"NoB","NoW","30-34",1863
"B","W","35-39",121
"NoB","W","35-39",257
"B","NoW","35-39",48
"NoB","NoW","35-39",2357
"B","W","40-44",169
"NoB","W","40-44",273
"B","NoW","40-44",54
"NoB","NoW","40-44",1778
"B","W","45-49",269
"NoB","W","45-49",324
"B","NoW","45-49",88
"NoB","NoW","45-49",1712
"B","W","50-54",404
"NoB","W","50-54",245
"B","NoW","50-54",117
"NoB","NoW","50-54",1324
"B","W","55-59",406
"NoB","W","55-59",225
"B","NoW","55-59",152
"NoB","NoW","55-59",967
"B","W","60-64",372
"NoB","W","60-64",132
"B","NoW","60-64",106
"NoB","NoW","60-64",526
