"Freq","opinion","year","grade","gender"
31,"very good","1983","1st","Boy"
103,"very good","1983","1st","Girl"
23,"very good","1983","3rd","Boy"
61,"very good","1983","3rd","Girl"
41,"very good","1985","1st","Boy"
77,"very good","1985","1st","Girl"
31,"very good","1985","3rd","Boy"
52,"very good","1985","3rd","Girl"
51,"good","1983","1st","Boy"
67,"good","1983","1st","Girl"
39,"good","1983","3rd","Boy"
72,"good","1983","3rd","Girl"
67,"good","1985","1st","Boy"
80,"good","1985","1st","Girl"
31,"good","1985","3rd","Boy"
70,"good","1985","3rd","Girl"
38,"indifferent","1983","1st","Boy"
29,"indifferent","1983","1st","Girl"
36,"indifferent","1983","3rd","Boy"
39,"indifferent","1983","3rd","Girl"
35,"indifferent","1985","1st","Boy"
27,"indifferent","1985","1st","Girl"
31,"indifferent","1985","3rd","Boy"
28,"indifferent","1985","3rd","Girl"
10,"bad","1983","1st","Boy"
15,"bad","1983","1st","Girl"
15,"bad","1983","3rd","Boy"
16,"bad","1983","3rd","Girl"
12,"bad","1985","1st","Boy"
10,"bad","1985","1st","Girl"
4,"bad","1985","3rd","Boy"
4,"bad","1985","3rd","Girl"
4,"very bad","1983","1st","Boy"
2,"very bad","1983","1st","Girl"
2,"very bad","1983","3rd","Boy"
3,"very bad","1983","3rd","Girl"
2,"very bad","1985","1st","Boy"
3,"very bad","1985","1st","Girl"
7,"very bad","1985","3rd","Boy"
3,"very bad","1985","3rd","Girl"
