"Freq","stage","operation","survival","xray"
10,"early","radical","no","no"
17,"early","radical","no","yes"
41,"early","radical","yes","no"
64,"early","radical","yes","yes"
1,"early","limited","no","no"
3,"early","limited","no","yes"
13,"early","limited","yes","no"
9,"early","limited","yes","yes"
38,"advanced","radical","no","no"
64,"advanced","radical","no","yes"
6,"advanced","radical","yes","no"
11,"advanced","radical","yes","yes"
3,"advanced","limited","no","no"
13,"advanced","limited","no","yes"
1,"advanced","limited","yes","no"
5,"advanced","limited","yes","yes"
