"Freq","attitude","memory","education","age"
1,"no","yes","elementary","15-24"
3,"no","yes","elementary","25-39"
20,"no","yes","elementary","40-"
2,"no","yes","secondary","15-24"
8,"no","yes","secondary","25-39"
4,"no","yes","secondary","40-"
2,"no","yes","high","15-24"
6,"no","yes","high","25-39"
1,"no","yes","high","40-"
26,"no","no","elementary","15-24"
46,"no","no","elementary","25-39"
109,"no","no","elementary","40-"
23,"no","no","secondary","15-24"
52,"no","no","secondary","25-39"
44,"no","no","secondary","40-"
26,"no","no","high","15-24"
24,"no","no","high","25-39"
13,"no","no","high","40-"
21,"moderate","yes","elementary","15-24"
41,"moderate","yes","elementary","25-39"
143,"moderate","yes","elementary","40-"
5,"moderate","yes","secondary","15-24"
20,"moderate","yes","secondary","25-39"
20,"moderate","yes","secondary","40-"
1,"moderate","yes","high","15-24"
4,"moderate","yes","high","25-39"
8,"moderate","yes","high","40-"
93,"moderate","no","elementary","15-24"
119,"moderate","no","elementary","25-39"
324,"moderate","no","elementary","40-"
45,"moderate","no","secondary","15-24"
84,"moderate","no","secondary","25-39"
56,"moderate","no","secondary","40-"
19,"moderate","no","high","15-24"
26,"moderate","no","high","25-39"
17,"moderate","no","high","40-"
