"Freq","sex","method","age","age.group","method2"
4,"male","poison",10,"10-20","poison"
0,"male","cookgas",10,"10-20","gas"
0,"male","toxicgas",10,"10-20","gas"
247,"male","hang",10,"10-20","hang"
1,"male","drown",10,"10-20","drown"
17,"male","gun",10,"10-20","gun"
1,"male","knife",10,"10-20","knife"
6,"male","jump",10,"10-20","jump"
0,"male","other",10,"10-20","other"
348,"male","poison",15,"10-20","poison"
7,"male","cookgas",15,"10-20","gas"
67,"male","toxicgas",15,"10-20","gas"
578,"male","hang",15,"10-20","hang"
22,"male","drown",15,"10-20","drown"
179,"male","gun",15,"10-20","gun"
11,"male","knife",15,"10-20","knife"
74,"male","jump",15,"10-20","jump"
175,"male","other",15,"10-20","other"
808,"male","poison",20,"10-20","poison"
32,"male","cookgas",20,"10-20","gas"
229,"male","toxicgas",20,"10-20","gas"
699,"male","hang",20,"10-20","hang"
44,"male","drown",20,"10-20","drown"
316,"male","gun",20,"10-20","gun"
35,"male","knife",20,"10-20","knife"
109,"male","jump",20,"10-20","jump"
289,"male","other",20,"10-20","other"
789,"male","poison",25,"25-35","poison"
26,"male","cookgas",25,"25-35","gas"
243,"male","toxicgas",25,"25-35","gas"
648,"male","hang",25,"25-35","hang"
52,"male","drown",25,"25-35","drown"
268,"male","gun",25,"25-35","gun"
38,"male","knife",25,"25-35","knife"
109,"male","jump",25,"25-35","jump"
226,"male","other",25,"25-35","other"
916,"male","poison",30,"25-35","poison"
17,"male","cookgas",30,"25-35","gas"
257,"male","toxicgas",30,"25-35","gas"
825,"male","hang",30,"25-35","hang"
74,"male","drown",30,"25-35","drown"
291,"male","gun",30,"25-35","gun"
52,"male","knife",30,"25-35","knife"
123,"male","jump",30,"25-35","jump"
281,"male","other",30,"25-35","other"
1118,"male","poison",35,"25-35","poison"
27,"male","cookgas",35,"25-35","gas"
313,"male","toxicgas",35,"25-35","gas"
1278,"male","hang",35,"25-35","hang"
87,"male","drown",35,"25-35","drown"
293,"male","gun",35,"25-35","gun"
49,"male","knife",35,"25-35","knife"
134,"male","jump",35,"25-35","jump"
268,"male","other",35,"25-35","other"
926,"male","poison",40,"40-50","poison"
13,"male","cookgas",40,"40-50","gas"
250,"male","toxicgas",40,"40-50","gas"
1273,"male","hang",40,"40-50","hang"
89,"male","drown",40,"40-50","drown"
299,"male","gun",40,"40-50","gun"
53,"male","knife",40,"40-50","knife"
78,"male","jump",40,"40-50","jump"
198,"male","other",40,"40-50","other"
855,"male","poison",45,"40-50","poison"
9,"male","cookgas",45,"40-50","gas"
203,"male","toxicgas",45,"40-50","gas"
1381,"male","hang",45,"40-50","hang"
71,"male","drown",45,"40-50","drown"
347,"male","gun",45,"40-50","gun"
68,"male","knife",45,"40-50","knife"
