"Freq","right","left","gender"
1520,"1","1","female"
234,"2","1","female"
117,"3","1","female"
36,"4","1","female"
266,"1","2","female"
1512,"2","2","female"
362,"3","2","female"
82,"4","2","female"
124,"1","3","female"
432,"2","3","female"
1772,"3","3","female"
179,"4","3","female"
66,"1","4","female"
78,"2","4","female"
205,"3","4","female"
492,"4","4","female"
821,"1","1","male"
116,"2","1","male"
72,"3","1","male"
43,"4","1","male"
112,"1","2","male"
494,"2","2","male"
151,"3","2","male"
34,"4","2","male"
85,"1","3","male"
145,"2","3","male"
583,"3","3","male"
106,"4","3","male"
35,"1","4","male"
27,"2","4","male"
87,"3","4","male"
331,"4","4","male"
